土休日ダイヤ 三ノ宮駅 上り時刻表,,,,,,,,,,,,,,,,,,
,松井山手,米原方面敦賀,米原,京都,松井山手,野洲,米原,京都,松井山手,長浜,米原,京都,松井山手,野洲,米原,京都,,
,3,4,3,3,3,4,3,3,3,4,3,3,3,4,3,3,,
16,普通,新快速,快速,普通,普通,新快速,快速,普通,特急ｽｰﾊﾟｰはくと,普通,新快速,快速,普通,特急はまかぜ,普通,新快速,快速,普通
,03,07,09,13,18,22,24,28,30,33,37,39,43,47,48,52,54,58
,松井山手,米原方面敦賀,米原,京都,松井山手,草津,米原,京都,大阪,松井山手,長浜,米原,京都,大阪,松井山手,野洲,米原,京都
,3,4,3,3,3,4,3,3,4,3,4,3,3,4,3,4,3,3
17,普通,新快速,快速,普通,普通,新快速,快速,普通,特急ｽｰﾊﾟｰはくと,普通,新快速,快速,普通,普通,新快速,快速,普通,
,03,07,09,13,18,22,24,28,31,33,37,39,43,48,52,54,58,
,松井山手,米原方面敦賀,米原,京都,松井山手,草津,米原,京都,大阪,松井山手,長浜,米原,京都,松井山手,草津,長浜,京都,
,3,4,3,3,3,4,3,3,4,3,4,3,3,3,4,3,3,
19,普通,新快速,快速,特急ｽｰﾊﾟｰはくと,普通,普通,新快速,快速,普通,普通,新快速,快速,普通,特急はまかぜ,普通,新快速,快速,普通
,03,07,09,11,13,18,22,24,28,33,37,39,43,47,48,52,54,58
,松井山手,長浜,野洲,京都,京都,松井山手,野洲,米原,京都,京田辺,長浜,野洲,京都,大阪,松井山手,野洲,米原,京都
,3,4,3,4,3,3,4,3,3,3,4,3,3,4,3,4,3,3
20,普通,新快速,快速,普通,普通,新快速,快速,普通,普通,新快速,快速,普通,特急ｽｰﾊﾟｰはくと,普通,新快速,,,
,03,07,09,13,18,22,24,28,34,37,42,45,46,54,57,,,
,松井山手,長浜,野洲,京都,松井山手,野洲,米原,京都,同志社前,米原,野洲,京都,京都,高槻,野洲,,,
,3,4,3,3,3,4,3,3,3,4,3,3,4,3,4,,,
21,快速,普通,普通,新快速,快速,普通,普通,新快速,快速,普通,普通,新快速,,,,,,
,02,05,14,17,22,25,34,37,42,46,54,57,,,,,,
,米原,京都,同志社前,米原,野洲,京都,高槻,米原,米原,京都,木津,野洲,,,,,,
,3,3,3,4,3,3,3,4,3,3,3,4,,,,,,
22,快速,普通,普通,新快速,快速,普通,普通,新快速,快速,普通,普通,,,,,,,
,02,05,14,17,22,25,34,37,42,47,55,,,,,,,
,米原,京都,京田辺,野洲,米原,京都,高槻,草津,野洲,高槻,高槻,,,,,,,
,3,3,3,4,3,3,3,4,3,3,3,,,,,,,
23,快速,普通,普通,新快速,普通,普通,,,,,,,,,,,,
,04,08,17,36,37,52,,,,,,,,,,,,
,野洲,京都,高槻,京都,放出,大阪,,,,,,,,,,,,
,3,3,3,4,3,3,,,,,,,,,,,,
0,普通,特急ｻﾝﾗｲｽﾞ瀬戸出雲,,,,,,,,,,,,,,,,
,10,11,,,,,,,,,,,,,,,,
,大阪,大阪,,,,,,,,,,,,,,,,
,3,4,,,,,,,,,,,,,,,,
